barcode,product_name,brands,nutrition_grade,quantity_grams,sugars_100g,fiber_100g,proteins_100g,sugar_pct_dv,sugar_tier,high_sugar_flag,sugar_pct_dv_scaled,warehouse_status,stock_count
3168930010265,cruesly mélange de noix,Quaker,b,450.0,12.0,10.0,8.5,24.0,high,1,0.46153846153846156,not_in_warehouse,
3229820160672,Croustillant Chocolat,Bjorg,c,500.0,14.0,10.0,9.27,28.000000000000004,high,1,0.5384615384615385,not_in_warehouse,
3229820019307,Flocons d'avoine,BJORG,a,500.0,1.7,11.0,11.0,3.4000000000000004,low,0,0.06538461538461539,not_in_warehouse,
3229820129488,"Muesli Raisin, Figue, Datte, Abricot",Bjorg,a,375.0,14.0,10.0,11.0,28.000000000000004,high,1,0.5384615384615385,not_in_warehouse,
3387390123210,Chocapic,"Nestlé, Chocapic",b,375.0,19.9,7.7,8.5,39.8,high,1,0.7653846153846153,not_in_warehouse,
5010477348678,Special Muesli 30% fruits & noix,Jordans,a,750.0,17.0,8.8,10.0,34.0,high,1,0.6538461538461539,not_in_warehouse,
3229820782560,"Muesli Superfruits Raisins, cassis, cranberry, myrtille",Bjorg,a,375.0,13.0,10.0,12.0,26.0,high,1,0.5,not_in_warehouse,
7613036669146,NESTLE CHOCAPIC BIO Céréales - Boite de 375g,"Nestlé, Chocapic",b,375.0,19.9,8.2,9.1,39.8,high,1,0.7653846153846153,not_in_warehouse,
5010029000023,Original,Weetabix,a,430.0,4.2,10.0,12.0,8.4,moderate,0,0.16153846153846155,not_in_warehouse,
5010477348357,Country Crisp 4 noix,Jordans,c,550.0,18.0,6.1,11.0,36.0,high,1,0.6923076923076923,not_in_warehouse,
8410076610737,NATURE VALLEY protein pind&choc.GV,Nature Valley,d,160.0,17.1,10.7,25.6,34.2,high,1,0.6576923076923078,not_in_warehouse,
3159470000120,CORN FLAKES,Kellogg's,d,500.0,8.0,3.0,7.0,16.0,moderate,0,0.3076923076923077,not_in_warehouse,
3229820769165,Muesli avoine chocolat bio,Bjorg,a,375.0,8.2,10.0,12.0,16.4,moderate,0,0.3153846153846154,not_in_warehouse,
3168930010906,Cruesli Chocolat noir,Quaker,c,450.0,16.0,10.0,8.1,32.0,high,1,0.6153846153846154,not_in_warehouse,
3168930009078,Flocons d'avoine complète,Quaker,a,550.0,1.1,9.0,11.0,2.2,low,0,0.04230769230769231,not_in_warehouse,
20003166,,Crownfield,a,500.0,0.7,10.0,13.5,1.4,low,0,0.02692307692307692,not_in_warehouse,
5010477348630,Muesli 36% fruits noix & graines,Jordan,c,500.0,18.9,8.5,9.3,37.8,high,1,0.7269230769230769,not_in_warehouse,
3168930009795,Muesli Croustillant Noix de pécan & noix du Brésil,Quaker,b,500.0,13.0,13.0,11.0,26.0,high,1,0.5,not_in_warehouse,
7613035449626,NESTLE CHOCAPIC Céréales 645g,"Nestlé, Chocapic",b,645.0,19.9,7.7,8.5,39.8,high,1,0.7653846153846153,not_in_warehouse,
5010477348395,Country Crisp - Chocolat noir 70% cacao,Jordans,d,550.0,23.0,5.6,8.8,46.0,high,1,0.8846153846153846,not_in_warehouse,
